Material,Poisson's ratio,Young's modulus (E),Shear modulus (G)
Ti-6Al-4V,0.34,113.8 GPa,44.2 GPa
Ti-10V-2Fe-3Al,0.33,120 GPa,47 GPa
Ti-13Nb-13Zr,0.34,87.2 GPa,33.8 GPa
