Stainless Steel Type,Poisson's Ratio,Elastic Modulus (GPa),Shear Modulus (GPa)
SUS304,0.3-0.31,193,73.2
SUS316,0.3-0.31,193,73.2
SUS631,0.27-0.30,200,77.2
