Steel Material,Poisson's Ratio,Elastic Modulus (GPa),Shear Modulus (GPa)
High-quality carbon steel,0.3,196-206,76-84
65Mn steel,0.28-0.31,196-215,74-82
70 steel,0.3,196-206,76-84
85 steel,0.3,196-206,76-84
82B steel,0.3,196-206,76-84
