Alloy Type,Poisson's Ratio,Elastic Modulus (GPa),Shear Modulus (GPa)
Nitinol 55,0.33-0.36,65-77,25-30
Nitinol 60,0.33-0.35,79-97,30-35
Nitinol 75,0.33-0.35,97-117,35-42
Nitinol 90,0.33-0.35,117-138,42-50
